Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
AMABWIRIZA YA KOMISERI MUKURU Nº02/2016 YO KUWA 08/08/2019 AGENA IBISABWA MU GUHAGARARIRA ABANDI MISORO MU,Amabwiriza,NA,NA,Ingingo ya 4: Igihe uburenganganzira bwo guhagararira abandi bumara,Icyemezo cyo kwemererwa guhagararira abasoreshwa kimara imyaka itatu ishobora kongerwa gusa harebwe niba usaba acyujuje ibisabwa bivugwa mu ngingo ya 1 y’aya mabwiriza anagaragaje icyemezo cy’uko yishyuye amafaranga (10.000Frw) adasubizwa. Ikigo cy’Imisoro ibihumbi icumi n’Amahoro gishobora kwambura urwo ruhushya igihe cyose uwaruhawe atacyujuje kimwe mu bya ngombwa biteganyijwe mu ngingo ya 1 y’aya mabwiriza.,
AMABWIRIZA YA KOMISERI MUKURU Nº02/2016 YO KUWA 08/08/2020 AGENA IBISABWA MU GUHAGARARIRA ABANDI MISORO MU,Amabwiriza,NA,NA,Ingingo ya 5: Imirimo ikorwa n’abahagararira abasoreshwa,Imirimo ikorwa n’abahagararira abasoreshwa ni izi zikurikira: - Gufasha umusoreshwa gukora ibaruramari; - Gutegura no kugeza ku Kigo cy’Imisoro n’Amahoro imenyesha musoro ; - Guhararira umusoreshwa mu igenzura ry’Imisoro no mu nzego z’ubujurire.,
AMABWIRIZA YA KOMISERI MUKURU Nº02/2016 YO KUWA 08/08/2021 AGENA IBISABWA MU GUHAGARARIRA ABANDI MISORO MU,Amabwiriza,NA,NA,Ingingo ya 6: Kwamburwa uburenganzira bwo guhagararira abasoreshwa,Komiseri Mukuru ashobora kwaka uhagararira abasoreshwa icyemezo cyo guhagararira abasoreshwa mu gihe gishobora kugera ku myaka itatu iyo yitwaye nabi cyangwa yitesheje icyizere.,
AMABWIRIZA YA KOMISERI MUKURU Nº02/2016 YO KUWA 08/08/2022 AGENA IBISABWA MU GUHAGARARIRA ABANDI MISORO MU,Amabwiriza,NA,NA,Ingingo ya 7: Kujuririra Minisitiri,Uwambuwe uburenganzira bwo guhagararira abasoreshwa ashobora kujuririra Minisitiri ufite imari mu nshingano ze mu gihe kitarenze iminsi 15 kibarwa uhereye igihe yashyikirijwe ibaruwa imuhagarika.,
AMABWIRIZA YA KOMISERI MUKURU Nº02/2016 YO KUWA 08/08/2023 AGENA IBISABWA MU GUHAGARARIRA ABANDI MISORO MU,Amabwiriza,NA,NA,Ingingo ya 8: Ivanwaho ry’ingingo z’amabwiriza zinyuranyije n’aya mabwiriza,Amabwiriza yose abanziriza aya kandi anyuranyije nayo avanyweho.,
AMABWIRIZA YA KOMISERI MUKURU Nº02/2016 YO KUWA 08/08/2024 AGENA IBISABWA MU GUHAGARARIRA ABANDI MISORO MU,Amabwiriza,NA,NA,Ingingo ya 9: Igihe amabwiriza atangira gukurikizwa,Aya mabwiriza atangira gukurikizwa ku munsi yatangarijweho mu igazeti ya Leta ya Repubulika y’u Rwanda.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA MBERE: INGINGO RUSANGE,NA,Ingingo ya mbere: Ibyo itegeko rigamije,"Iri Tegeko rigena inshingano, imiterere n‟imikorere by‟Ikigo gishinzwe kwinjiza mu isanduku ya Leta imisoro n‟amahoro, cyitwa “Rwanda Revenue Authority, “RRA” mu magambo ahinnye y‟ururimi rw‟icyongereza. 
RRA ifite ubuzimagatozi n‟ubwigenge mu 
miyoborere, mu micungire y‟umutungo 
n‟abakozi bayo kandi icungwa hakurikijwe 
amategeko agenga inzego z‟imirimo ya 
Leta.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,,NA,Ingingo ya 2:Icyicaro cya RRA,"Icyicaro cya RRA kiri mu Mujyi wa Kigali, Umurwa Mukuru wa Repubulika y’u Rwanda. Gishobora kwimurirwa ahandi hose mu Rwanda igihe bibaye ngombwa. RRA ishobora gushinga amashami ahandi hose mu Gihugu igihe bibaye ngombwa byemejwe n’Iteka rya Minisitiri w’Intebe.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA II: INSHINGANO ZA RRA,NA,Ingingo ya 3 : Inshingano za RRA,"Hakurikijwe amategeko agenga imisoro n‟amahoro, inshingano z‟ingenzi za RRA ni izi zikurikira: 1° kugira uruhare mu igena ry‟imisoro n‟amahoro, kubyakira, kubigenzura, kubicunga hakurikijwe amategeko no kumenyesha Minisiteri iyireberera uko bikorwa; 
 
2° gutanga ubusonere buteganywa 
n‟amategeko abigenga, hakurikijwe uburyo 
igena; 
 
 
3° kwigisha no gukangurira abaturage 
igikorwa cyo gutanga imisoro n‟amahoro; 
 
4° kugira inama Guverinoma n‟Inzego 
z‟Ibanze mu byerekeye politiki y‟imisoro 
n‟amahoro; 
 
5° kugenza ibyaha ku bantu barenga ku 
mategeko agenga imisoro n‟amahoro; 
 
 
6° korohereza ibikorwa by‟ubucuruzi; 
 
7° gukora undi murimo uwo ari wo wose 
ufitanye isano no kwinjiriza Leta 
amafaranga bisabwe n‟Inama 
y‟Abaminisitiri.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA III: URWEGO RUREBERERA RRA,NA,Ingingo ya 4: Urwego rureberera RRA,"RRA irebererwa na Minisiteri ifite imari mu nshingano zayo. Hagati y’iyo Minisiteri n’Inama y’Ubuyobozi ya RRA hakorwa O.G. n° special of 15/05/2009 
 11 
amasezerano yerekeye gahunda y’ibikorwa 
agaragaza ububasha, uburenganzira 
n’inshingano za buri ruhande mu kugera ku 
nshingano za RRA. 
 
 
Ayo masezerano amara igihe gihwanye na 
manda y’abagize inama y’ubutegetsi 
ashyirwaho umukono na Perezida w’Inama 
y’Ubutegetsi na Minisitiri ureberera RRA.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA III: URWEGO RUREBERERA RRA,NA,Ingingo ya 5: Ibikubiye mu masezerano yerekeye gahunda y’ibikorwa,"Mu byo amasezerano yerekeye gahunda y’ibikorwa ateganywa mu ngingo ya 4 y’iri tegeko agomba guteganya mu buryo bwumvikana harimo: 1° inshingano z‟Inama y‟Ubuyobozi ndetse n‟inshingano z‟inzego zose za RRA; 2° ibigomba kugerwaho na RRA; 3° aho umutungo wa RRA ukomoka, imikorere yayo n‟uburyo buhoraho bwo kubigenzura.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,NA,Ingingo ya 6: Inzego za RRA,RRA igizwe n‟inzego ebyiri (2) zikurikira: 1° Inama y’Ubutegetsi; 2° Ubuyobozi Bukuru.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 7: Urwego ruyobora RRA,Inama y‟Ubutegetsi ya RRA ni rwo rwego ruyiyobora kandi rushinzwe gufata ibyemezo. Ifite ububasha busesuye n‟inshingano byo gucunga umutungo wa RRA kugira ngo RRA ishobore kugera ku nshingano zayo.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 8: Ishyirwaho ry’abagize Urwego ruyobora RRA na manda yabo,"Inama y‟Ubuyobozi igizwe n‟abantu barindwi (7), harimo batandatu (6) bashyirwaho n‟Iteka rya Minisitiri w‟Intebe, na Komiseri Mukuru wa RRA. Nibura mirongo itatu ku ijana (30%) O.G. n° special of 15/05/2009 
by‟abagize inama y‟ubutegetsi bagomba 
kuba ari abagore. 
Abashyirwaho n‟Iteka rya Minisitiri 
w‟Intebe, harimo Perezida na Visi
Perezida, batoranywa cyane cyane mu 
bahanga bafite ubumenyi n‟uburambe mu 
bijyanye n‟imisoro n‟amahoro cyangwa 
ibijyanye n‟imari muri rusange kandi 
bamara ku mirimo igihe cy‟imyaka itatu (3) 
ishobora kongerwa inshuro imwe gusa.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 9 : Inshingano z’Inama y’Ubutegetsi ya RRA,"mari mu nshingano ze; 4° Kwemeza sitati igenga abakozi, imiterere n‟inshingano by‟inzego z‟imirimo bya RRA ishingiye ku mahame ateganywa n‟amategeko agenga abakozi b‟ibigo bya Leta. 5° gutanga icyerekezo cy‟ibikorwa na gahunda y‟imikorere bya RRA; 6° kwemeza imbanzirizamushinga y’ingengo y’imari ya buri mwaka, mbere yo kuyishyikiriza inzego zibishinzwe; 7° gusuzuma imikorere y’Ikigo hakurikijwe gahunda n’ingengo y’imari; 8° gushyiraho abagize Ubuyobozi Bukuru bwa RRA uretse Komiseri Mukuru na Komiseri Mukuru Wungirije no gushyiraho abandi bakozi ba RRA; 9° Kwemeza raporo y‟ibikorwa n‟iy‟imikoreshereze y‟imari n‟umutungo bya RRA.O.G. n° special of 15/05/2009",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,"Ingingo ya 10 : Itumizwa ry’Inama y’Ubutegetsi, ibyo isuzuma n’uko ifata ibyemezo","Inama y‟Ubutegetsi ya RRA iterana rimwe mu gihembwe n‟igihe cyose bibaye ngombwa itumijwe na Perezida wayo cyangwa Visi-Perezida, igihe Perezida adahari, babyibwirije cyangwa bisabwe mu nyandiko nibura na kimwe cya gatatu (1/3) cy‟abayigize. Ubutumire bukorwa mu nyandiko ishyikirizwa abagize inama y‟ubutegetsi hasigaye nibura iminsi cumi n‟itanu (15) ngo inama iterane. Icyakora, inama idasanzwe itumizwa mu nyandiko hasigaye, nibura, iminsi itanu (5) kugira ngo iterane. Mu byigwa n‟Inama y‟Ubutegetsi mu gihembwe cya mbere cy‟umwaka harimo kwemeza raporo n‟imikoreshereze y‟umutungo mu mwaka urangiye; mu gihembwe cya gatatu hakabamo gahunda yo umushinga w‟ingengo y‟imari na gahunda y‟ibikorwa by‟umwaka ukurikira. Buri gihembwe kandi igomba gusuzuma raporo y‟imari n‟iy‟ibikorwa byerekeranye n‟igihembwe kirangiye igashyikirizwa Minisitiri ureberera RRA. 
 16 
Uburyo inama iterana n‟uko ibyemezo 
bifatwa biteganywa n‟amategeko 
ngengamikorere ya RRA.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 11: Itumizwa ry’uwunganira Inama y’Ubutegetsi,"Inama y’Ubuyobozi ishobora gutumira, mu nama yayo, umuntu wese ibona ashobora kuyungura ibitekerezo ku ngingo runaka ifite ku murongo w’ibyigwa. Uwatumiwe ntiyemerewe gutora no gukurikira iyigwa ry’izindi ngingo ziri ku murongo w’ibyigwa",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 12: Iyegura ry’ugize Inama y’Ubutegetsi,"Uri mu bagize inama y’ubutegetsi ashobora kwegura ku mirimo ye abimenyesheje, mu nyandiko, Minisitiri w’Intebe. Icyemezo cya Minisitiri w’Intebe kigomba gufatwa mu gihe kitarenze ukwezi kumwe uhereye ku iyakirwa ry’ibaruwa ibisaba. Iyo icyo gihe kirenze, kwegura bifatwa nk’aho byemewe.O.G. n° special of 15/05/2009",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 13: Ibigenerwa abagize Inama y’Ubutegetsi bitabiriye inama,"Abagize Inama y‟Ubutegetsi bitabiriye inama z‟Inama y‟Ubutegetsi, bahabwa amafaranga agenwa n‟Iteka rya Perezida.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 14: Ibibujijwe ku bagize inama y’Ubutegetsi n’ibigo bafitemo imigabane,"Uretse Komiseri Mukuru, abagize inama y’ubutegetsi ntibemerewe gukora umurimo ugenerwa igihembo muri RRA. Abagize inama y‟ubutegetsi ntibemerewe kandi, haba ku giti cyabo cyangwa ibigo bafitemo imigabane, gupiganira amasoko atangwa na RRA.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 15: Impamvu zituma ugize Inama y’Ubutegetsi avanwa kuri uwo mwanya,"Ugize inama y’ubutegetsi ava muri uwo mwanya iyo: 1° manda ye irangiye; 2° yeguye akoresheje inyandiko;3° atagishoboye gukora imirimo ye kubera 
ubumuga bw’umubiri cyangwa uburwayi 
bwo mu mutwe, byemejwe na muganga 
wemewe na Leta; 
4° akatiwe burundu igihano cy‟igifungo 
kingana cyangwa kirengeje amezi atandatu 
(6) nta subikagihano; 
5° asibye inama inshuro eshatu (3) 
zikurikirana mu mwaka umwe, nta 
mpamvu zifite ishingiro; 
6° 
bigaragaye 
ko 
atacyujuje 
ibyashingiweho ashyirwa mu Nama 
y’Ubutegetsi; 
7° 
agaragaje 
n’inshingano ze; 
imyitwarire 
8° abangamira inyungu za RRA; 
itajyanye 
9° yireze akemera icyaha cya jenoside; 
10° apfuye. 
Minisitiri ureberera RRA agaragaza muri 
raporo igenewe inzego zibifitiye ububasha 
ko umwe mu bagize inama y‟ubutegetesi 
adakwiriye kuba mu bayigize cyangwa ko 
atakiri 
mu mwanya we hakurikijwe O.G. n° special of 15/05/2009 
 19 
ibiteganywa mu gika kibanziriza iki. 
 
 
Iyo umwe mu bagize inama y’ubutegetsi 
avuye mu mirimo ye mbere y’uko manda 
ye irangira, Ubuyobozi bubifitiye ububasha 
bushyiraho umusimbura. Ushyizweho 
arangiza iyo manda.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 16: Ibiteganywa n’amategeko ngengamikorere ya RRA,"Mu byo amategeko ngengamikorere ya RRA ateganya, harimo: 1° kugena utumiza inama y’ubutegetsi igihe Perezida cyangwa Visi-Perezida badahari cyangwa bagize impamvu; 2° ibyerekeranye n’uko itumizwa ry’Inama y’Ubuyobozi rikorwa n’ibigomba kuba byujujwe kugira ngo iterane kandi inafate ibyemezo; 3° uburyo uri mu bagize inama y’ubutegetsi amenyesha ko afite inyungu bwite mu bibazo bisuzumwa cyangwa bizasuzumwa vuba n’ibihano ashobora gusabirwa ku rwego rubifitiye ububasha hakurikijwe ingingo ya 15 y’iri tegeko. Aryozwa kandi ingaruka zose icyemezo yafatiwe cyagize ku musaruro wa RRA.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 17: Uburyo ugize Inama y’Ubutegetsi amenyesha ko afite inyungu bwite mu bibazo bisuzumwa cyangwa byasuzumwa vuba,"Iyo uri mu bagize inama y’ubutegetsi afite inyungu bwite itaziguye cyangwa iziguye mu bibazo bisuzumwa cyangwa byasuzumwa vuba, agomba, akimenya ibizasuzumwa, kumenyesha bidatinzeInama y’Ubutegetsi, aho inyungu ze zishingiye. Umenyesheje inyungu afite ku kibazo cyigwa, ntashobora gutora mu gihe bafata ibyemezo kuri icyo kibazo. Iyo inama y’ubutegetesi isuzuma ikibazo kireba umwe mu bayigize arahezwa. Iyo bigararagaye ko benshi cyangwa bose mu bagize inama y’ubutegetesi bafite inyungu bwite itaziguye cyangwa iziguye mu bibazo bisuzumwa cyangwa byasuzumwa vuba, ku buryo bidashoboka gufata ibyemezo kuri ibyo bibazo, ibyo bibazo bishyikirizwa Minisiteri ireberera O.G. n° special of 15/05/2009 
 21 
Ikigo.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya mbere: Inama y’Ubutegetsi,Ingingo ya 18: Iyemezwa ry’ibyemezo by’inama y’Inama y’Ubuyobozi,"Inyandiko y’ibyemezo by’Inama y’Ubuyobozi ishyirwaho umukono n’abayigize inama ikirangira, kopi yayo ikohererezwa Minisitiri ureberera RRA mu gihe kitarenze iminsi itanu (5) kugira ngo agire icyo abivugaho mu gihe kitarenze iminsi cumi n’itanu (15) kuva ayishyikirijwe. Iyo icyo gihe kirenze ntacyo arabivugaho, imyanzuro y’inama iba yemewe burundu. Inyandikomvugo y’inama ishyirwaho umukono na Perezida n’umwanditsi bayo, ikemezwa mu nama ikurikira. Kopi y’inyandikomvugo yohererezwa Minisitiri ureberera RRA mu gihe kitarenze iminsi cumi n’itanu (15) guhera umunsi yemerejweho.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 19: Abagize Ubuyobozi Bukuru bwa RRA,"Ubuyobozi Bukuru bwa RRA bugizwe na Komiseri Mukuru, Komiseri Mukuru Wungirije, Abakomiseri n’abayobozi b’inzego z’imirimo.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 20: Uko abagize Ubuyobozi Bukuru bwa RRA bashyirwaho na manda yabo,Komiseri Mukuru ashyirwaho n’Iteka rya Perezida naho Komiseri Mukuru Wungirije agashyirwaho n’Iteka rya Minisitiri w’Intebe. Manda ya Komiseri Mukuru n’iya Komiseri Mukuru Wungirije ni imyaka itanu (5) ishobora kongerwa rimwe gusa.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 21: Imicungire ya RRA n’inshingano za Komiseri Mukuru,"Imicungire ya buri munsi ya RRA ishinzwe Komiseri Mukuru. Afite ububasha bwo O.G. n° special of 15/05/2009 
 23 
guhuza no kuyobora ibikorwa bya buri 
munsi bya RRA kandi akabazwa n’Inama 
y’Ubuyobozi uko ibyemezo byayo 
bishyirwa mu bikorwa. 
 
 
By‟umwihariko, Komiseri Mukuru 
ashinzwe ibi bikurikira: 
 
1° guhuza no gucunga ibikorwa bya buri 
munsi bya RRA; 
 
2° gutanga amabwiriza y‟akazi ka RRA 
n‟ay‟ubuyobozi bw‟amashami ya RRA; 
 
 
3° gutegura politiki ya RRA no 
kuyishyikiriza inama y‟ubutegetesi kugira 
ngo iyinononsore kandi iyemeze mbere 
y‟uko ishyikirizwa Inama y‟Abaminisitiri 
na Minisitiri ureberera RRA; 
 
4° gutegura no gushyikiriza inama 
y‟ubutegetesi imbanzirizamushinga 
w‟ingengo y‟imari izakoreshwa mu 
mwaka ukurikira na raporo 
y‟imikoreshereze y‟ingengo y‟imari 
y‟umwaka ushize; RRA akurikije amategeko; 
 
7° kumenyesha mu nyandiko inama 
y‟ubutegetesi imigendekere n‟ibikorwa bya 
RRA, nibura rimwe mu gihembwe; 
 
 
8° gutegura no gushyikiriza Minisiteri 
ireberera RRA, mbere y’uko umwaka 
w’ibaruramari urangira, ibiteganyijwe 
by’inyongera by’uwo mwaka; 
 
 
9° gutegura gahunda y’ibikorwa bya RRA; 
 
 
10° guhagararira RRA imbere 
y’amategeko.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 22: Amasezerano yerekeye gahunda y’ibikorwa hagati y’Inama y’Ubutegetsi na Komiseri Mukuru,Hagati y’Inama y’Ubutegetsi na Komiseri Mukuru hakorwa amasezerano yerekeye gahunda y’ibikorwa agaragaza nibura inshingano za buri ruhande n’ibyangombwa bikenewe kugira ngo RRA igere ku nshingano zayo. O.G. n° special of 15/05/2009,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 23: Ibibujijwe kuri Komiseri Mukuru na Komiseri Mukuru Wungirije,Komiseri Mukuru na Komiseri Mukuru Wungirije ntibemerewe gukora undi murimo n’ibikorwa by’ubucuruzi cyangwa indi mirimo yose ibyara inyungu.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 24: Usimbura Komiseri Mukuru iyo adahari cyangwa yagize impamvu,"Mu gihe Komiseri Mukuru adahari cyangwa yagize impamvu, asimburwa na Komiseri Mukuru Wungirije akabimenyesha Inama y’Ubutegetsi. Iyo bombi badahari, inama y’ubutegetesi igena ubwayo umusigariraho n’igihe azamara.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 25: Impamvu zituma Komiseri Mukuru cyangwa Komiseri Mukuru Wungirije bahagarikwa cyangwa bavanwa ku mirimo,"Hakurikijwe uko bashyirwaho nk’uko biteganywa mu ngingo ya 20 y’iri tegeko, Komiseri Mukuru cyangwa Komiseri Mukuru Wungirije bashobora guhagarikwa by’agateganyo cyangwa gusezererwa burundu kubera impamvu zikurikira: 
 
1° imyifatire mibi, kurya ruswa, kunyereza 
umutungo wa Leta; 
2° ubushishozi buke ku murimo; 
 
3° kutubahiriza amasezerano agenga 
umurimo we; 
 
4° mu gihe atagishoboye kwishyura 
imyenda afite cyangwa yahombye burundu; 
5° mu gihe yakatiwe burundu n’inkiko 
igihano kingana cyangwa kirenze amezi 
atandatu (6); 
 
6° indi mpamvu iyo ari yo yose imubuza 
kurangiza inshingano ze. 
 
Inama y’Ubuyobozi igaragaza muri raporo 
igenewe inzego zibifitiye ububasha ko 
Komiseri Mukuru cyangwa Komiseri 
Mukuru Wungirije yagaragaweho ibivugwa 
mu gika cya mbere cy’iyi ngingo",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,"Ingingo ya 26: Sitati igenga 
abakozi, imiterere n’inshingano 
by’inzego z’imirimo bya RRA","Sitati igenga abakozi, imiterere n‟inshingano by‟inzego z‟imirimo bya RRA bishyirwaho n‟Inama y‟Ubuyobozi ishingiye ku mahame ateganywa O.G. n° special of 15/05/2009 
 27 
n‟amategeko agenga abakozi b‟ibigo bya 
Leta.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA IV: UBUYOBOZI BWA RRA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,"Ingingo ya 27: Ibigenerwa abagize 
 Ubuyobozi Bukuru bw’Ikigo n’abakozi",Ibigenerwa Komiseri Mukuru wa RRA na Komiseri Mukuru Wungirije wa RRA bigenwa n’Iteka rya Perezida. inama y’ubutegetesi igena ibigenerwa abandi bagize Ubuyobozi Bukuru bw’Ikigo n’abandi bakozi.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 28: Ibigize Umutungo wa RRA n’aho ukomoka,"Umutungo wa RRA ugizwe n’ibintu byimukanwa n’ibitimukanwa. Ukomoka aha hakurikira: 1° ingengo y’imari igenerwa na Leta; 2° ibikorwa n‟imirimo byakozwe na RRA; 3° inkunga zaba iza Leta cyangwa iz‟abaterankunga; 
4° inguzanyo zihabwa RRA zemewe na 
Minisitiri ushinzwe imari kandi amaze 
kuzitangira uburenganzira; 
 
5° impano n’indagano.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 29: Aho amafaranga yinjizwa na RRA ashyirwa n’ayo ishobora gusigarana,"Amafaranga yose yinjizwa na RRA, hakurikijwe iri tegeko, ashyirwa mu Isanduku ya Leta. Ariko RRA ishobora gusigarana umugabane ku ijana w‟ayinjijwe ugenwa n‟iteka rya Minisitiri ufite imari mu nshingano ze, hubahirijwe itegeko ngenga ryerekeye imari n‟umutungo bya Leta, kugira ngo irangize inshingano zayo.",
